source,target,start,end
ProgressistaRio,delucca,2018-07-24 17:50:19,2018-07-24 17:50:19
Julianaqos,delucca,2018-07-24 17:49:34,2018-07-24 17:49:34
handnunes,delucca,2018-07-24 17:48:30,2018-07-24 17:48:30
perugo_,cyrusafa,2018-07-24 17:45:44,2018-07-24 17:45:44
GracieusaBrito,cyrusafa,2018-07-24 17:43:42,2018-07-24 17:43:42
edugdav,cyrusafa,2018-07-24 17:42:46,2018-07-24 17:42:46
tizquadros,delucca,2018-07-24 17:38:54,2018-07-24 17:38:54
piratapuia,delucca,2018-07-24 17:38:36,2018-07-24 17:38:36
EuRobo36,cyrusafa,2018-07-24 17:38:31,2018-07-24 17:38:31
EuRobo36,delucca,2018-07-24 17:38:12,2018-07-24 17:38:12
mouraleo,cyrusafa,2018-07-24 17:36:36,2018-07-24 17:36:36
kazzttor,delucca,2018-07-24 17:35:34,2018-07-24 17:35:34
marlisecbecker,delucca,2018-07-24 17:32:48,2018-07-24 17:32:48
RosaSkarlate,delucca,2018-07-24 17:32:46,2018-07-24 17:32:46
aletmbh,delucca,2018-07-24 17:32:15,2018-07-24 17:32:15
fernando_ferant,tatiroque,2018-07-24 17:32:11,2018-07-24 17:32:11
professorxx1,delucca,2018-07-24 17:29:55,2018-07-24 17:29:55
FernandoCesar77,delucca,2018-07-24 17:28:14,2018-07-24 17:28:14
MNMSonia,delucca,2018-07-24 17:26:28,2018-07-24 17:26:28
Fabioma21641753,delucca,2018-07-24 17:22:43,2018-07-24 17:22:43
conversadodiego,delucca,2018-07-24 17:21:54,2018-07-24 17:21:54
paulinhojpma,nadanovonofront,2018-07-24 17:20:04,2018-07-24 17:20:04
ty_andrade,delucca,2018-07-24 17:15:38,2018-07-24 17:15:38
Deaneimoveis,delucca,2018-07-24 17:13:50,2018-07-24 17:13:50
Geovaax,nadanovonofront,2018-07-24 17:11:48,2018-07-24 17:11:48
ManinhoLeite,delucca,2018-07-24 17:11:41,2018-07-24 17:11:41
CarlosHSB,delucca,2018-07-24 17:09:23,2018-07-24 17:09:23
BrunoArBitt,cyrusafa,2018-07-24 17:06:55,2018-07-24 17:06:55
vlaoaot,delucca,2018-07-24 17:06:36,2018-07-24 17:06:36
lacerdaconte,delucca,2018-07-24 17:06:23,2018-07-24 17:06:23
Matsia_,delucca,2018-07-24 17:03:23,2018-07-24 17:03:23
BetoPereira19,delucca,2018-07-24 17:03:18,2018-07-24 17:03:18
TozzattoCassio,delucca,2018-07-24 17:00:43,2018-07-24 17:00:43
wernersilva,delucca,2018-07-24 17:00:43,2018-07-24 17:00:43
Dalfolinho2,delucca,2018-07-24 17:00:40,2018-07-24 17:00:40
edgarkhouri,delucca,2018-07-24 17:00:32,2018-07-24 17:00:32
luizfer_rocha,delucca,2018-07-24 16:59:30,2018-07-24 16:59:30
calinhares69,delucca,2018-07-24 16:58:26,2018-07-24 16:58:26
grazicachapuz,delucca,2018-07-24 16:57:39,2018-07-24 16:57:39
professorgerman,delucca,2018-07-24 16:54:02,2018-07-24 16:54:02
Ribeiro54srf,delucca,2018-07-24 16:53:32,2018-07-24 16:53:32
kmllandrad,delucca,2018-07-24 16:53:19,2018-07-24 16:53:19
LucasVignoliR,delucca,2018-07-24 16:52:21,2018-07-24 16:52:21
WeltonCAlves,delucca,2018-07-24 16:52:01,2018-07-24 16:52:01
flaviorangelvic,delucca,2018-07-24 16:51:47,2018-07-24 16:51:47
WeltonCAlves,delucca,2018-07-24 16:51:29,2018-07-24 16:51:29
professorgerman,delucca,2018-07-24 16:51:12,2018-07-24 16:51:12
professorgerman,cyrusafa,2018-07-24 16:49:39,2018-07-24 16:49:39
Clariss97071595,delucca,2018-07-24 16:49:24,2018-07-24 16:49:24
professorgerman,delucca,2018-07-24 16:47:35,2018-07-24 16:47:35
justing670,cyrusafa,2018-07-24 16:47:27,2018-07-24 16:47:27
_paulohenriqu3,delucca,2018-07-24 16:44:21,2018-07-24 16:44:21
jlfleite,delucca,2018-07-24 16:42:13,2018-07-24 16:42:13
MiqueiasFernan9,delucca,2018-07-24 16:42:09,2018-07-24 16:42:09
clementefarias3,delucca,2018-07-24 16:40:05,2018-07-24 16:40:05
alexcruce,delucca,2018-07-24 16:40:00,2018-07-24 16:40:00
MaJuForest,delucca,2018-07-24 16:38:49,2018-07-24 16:38:49
gabri10_,cyrusafa,2018-07-24 16:38:06,2018-07-24 16:38:06
MaJuForest,cyrusafa,2018-07-24 16:36:29,2018-07-24 16:36:29
MaJuForest,delucca,2018-07-24 16:36:02,2018-07-24 16:36:02
MaJuForest,cyrusafa,2018-07-24 16:34:32,2018-07-24 16:34:32
ikc300,delucca,2018-07-24 16:34:09,2018-07-24 16:34:09
bethmotta110,delucca,2018-07-24 16:32:58,2018-07-24 16:32:58
Rudiago,delucca,2018-07-24 16:31:44,2018-07-24 16:31:44
alexborges74,delucca,2018-07-24 16:31:23,2018-07-24 16:31:23
ProgressistaRio,delucca,2018-07-24 16:29:07,2018-07-24 16:29:07
marcobhdias,delucca,2018-07-24 16:28:46,2018-07-24 16:28:46
AlissonMateus,delucca,2018-07-24 16:27:25,2018-07-24 16:27:25
mayronsouzapm,delucca,2018-07-24 16:27:05,2018-07-24 16:27:05
itsKimFelipe,cyrusafa,2018-07-24 16:26:20,2018-07-24 16:26:20
Naty_psi,cyrusafa,2018-07-24 16:25:45,2018-07-24 16:25:45
levino3,delucca,2018-07-24 16:24:38,2018-07-24 16:24:38
marceloxaud,cyrusafa,2018-07-24 16:22:38,2018-07-24 16:22:38
WGomes191,delucca,2018-07-24 16:22:37,2018-07-24 16:22:37
sorayabborges,delucca,2018-07-24 16:22:03,2018-07-24 16:22:03
Fabquim10,delucca,2018-07-24 16:21:39,2018-07-24 16:21:39
mauricioalr,delucca,2018-07-24 16:19:38,2018-07-24 16:19:38
eualine84,delucca,2018-07-24 16:19:22,2018-07-24 16:19:22
rangelcaico,delucca,2018-07-24 16:17:36,2018-07-24 16:17:36
danniiela,delucca,2018-07-24 16:13:29,2018-07-24 16:13:29
ProgressistaRio,delucca,2018-07-24 16:13:26,2018-07-24 16:13:26
thiagooc,cyrusafa,2018-07-24 16:12:50,2018-07-24 16:12:50
thiagooc,delucca,2018-07-24 16:12:43,2018-07-24 16:12:43
MariaLciaFRizz1,delucca,2018-07-24 16:12:17,2018-07-24 16:12:17
AnaConcli,delucca,2018-07-24 16:12:00,2018-07-24 16:12:00
lehofranco,delucca,2018-07-24 16:10:58,2018-07-24 16:10:58
ErErcy,delucca,2018-07-24 16:08:35,2018-07-24 16:08:35
Kadyonoro,delucca,2018-07-24 16:07:07,2018-07-24 16:07:07
justing670,delucca,2018-07-24 16:07:04,2018-07-24 16:07:04
diraholanda,delucca,2018-07-24 16:07:01,2018-07-24 16:07:01
Ayres_Pimenta,delucca,2018-07-24 16:05:26,2018-07-24 16:05:26
ctrnrch,cesarotti,2018-07-24 16:04:48,2018-07-24 16:04:48
Fernanda_priOtt,delucca,2018-07-24 16:04:30,2018-07-24 16:04:30
Fernanda_priOtt,TiaBiba49,2018-07-24 16:03:40,2018-07-24 16:03:40
Sil10365679,delucca,2018-07-24 16:03:14,2018-07-24 16:03:14
crollim,delucca,2018-07-24 16:02:25,2018-07-24 16:02:25
ricardowelbert,delucca,2018-07-24 16:01:05,2018-07-24 16:01:05
ricardoduartvaz,delucca,2018-07-24 15:59:36,2018-07-24 15:59:36
paulo_castro22,delucca,2018-07-24 15:58:52,2018-07-24 15:58:52
lafalm,delucca,2018-07-24 15:58:24,2018-07-24 15:58:24
Philipespier,delucca,2018-07-24 15:57:07,2018-07-24 15:57:07
AlanSavio_03,delucca,2018-07-24 15:56:26,2018-07-24 15:56:26
IRA_q,cyrusafa,2018-07-24 15:55:55,2018-07-24 15:55:55
abcasjr,cyrusafa,2018-07-24 15:54:19,2018-07-24 15:54:19
nicolelaureanti,cyrusafa,2018-07-24 15:52:46,2018-07-24 15:52:46
fhelenos,delucca,2018-07-24 15:52:38,2018-07-24 15:52:38
francklinsr,delucca,2018-07-24 15:52:03,2018-07-24 15:52:03
Bibilibi,delucca,2018-07-24 15:51:53,2018-07-24 15:51:53
jrsergiofs,cyrusafa,2018-07-24 15:51:46,2018-07-24 15:51:46
fohn1991,LeomarCLima,2018-07-24 15:50:45,2018-07-24 15:50:45
AdviSjet,delucca,2018-07-24 15:50:26,2018-07-24 15:50:26
Chico_Mota13,delucca,2018-07-24 15:45:52,2018-07-24 15:45:52
MariluParreiras,delucca,2018-07-24 15:45:27,2018-07-24 15:45:27
acabraquele,cyrusafa,2018-07-24 15:45:24,2018-07-24 15:45:24
erbatista_,delucca,2018-07-24 15:44:51,2018-07-24 15:44:51
cingarrosolto,cyrusafa,2018-07-24 15:44:00,2018-07-24 15:44:00
edkxote,delucca,2018-07-24 15:42:35,2018-07-24 15:42:35
linedumelle,cyrusafa,2018-07-24 15:40:06,2018-07-24 15:40:06
aapqaapq,delucca,2018-07-24 15:37:32,2018-07-24 15:37:32
luizrechzen,MarciNog,2018-07-24 15:37:24,2018-07-24 15:37:24
vivazedirceu,delucca,2018-07-24 15:33:13,2018-07-24 15:33:13
